frame_id,sequence,title,slug,filename,ux_role,location,phase,crop_left,crop_top,crop_right,crop_bottom,alt_text,interaction_use
EP01-F01,1,1. COLD OPEN — +200 YEARS (COUNCIL ERA),council-era,01_FRAMES/ep01-frame-01-council-era.png,fixed-anchor,Council chamber,Council Era,16,51,395,252,Council representatives gather in a circular chamber to dispute leadership of Umada and Tisetan.,Required canon event; audience may inspect evidence but cannot alter outcome.
EP01-F02,2,1b. THE DISPATCH,dispatch,01_FRAMES/ep01-frame-02-dispatch.png,fixed-anchor,Council chamber,Council Era,400,51,765,252,"A council elder transfers the Omoluabi device to the hooded Reporter, whose face remains unseen.",Required canon event; audience may inspect evidence but cannot alter outcome.
EP01-F03,3,1c. ACTIVATION,activation,01_FRAMES/ep01-frame-03-activation.png,fixed-anchor,Temporal threshold,Council Era,770,51,1106,252,The hooded Reporter activates the Omoluabi device before a luminous circular temporal field.,Required canon event; audience may inspect evidence but cannot alter outcome.
EP01-F04,4,2. ARRIVAL — FRIEDMANDORSTROP,arrival-friedmandorstrop,01_FRAMES/ep01-frame-04-arrival-friedmandorstrop.png,hub,Friedmandorstrop,Before the Wipeout,1111,51,1519,252,"A coastal research settlement sits beneath mountains near Cape Agulhas, one hour before the Wipeout.",Route-selection hub opening multiple witness or location branches.
EP01-F05,5,3. THE GARDEN AT THE LAB,garden-at-lab,01_FRAMES/ep01-frame-05-garden-at-lab.png,branch,Laboratory garden,Before the Wipeout,16,324,395,505,"A vast living laboratory garden contains experimental ecosystems, water channels, researchers, and civilians.",Optional investigative route that changes knowledge and witness-ledger state.
EP01-F06,6,3b. GOING FOR BREAD,going-for-bread,01_FRAMES/ep01-frame-06-going-for-bread.png,branch,Bread route,Before the Wipeout,400,324,765,505,"Tallai, a visibly nonhuman chimera care specialist in pale layered garments, walks with small Q and massive Quartz.",Optional investigative route that changes knowledge and witness-ledger state.
EP01-F07,7,3c. ADA ARRIVES EARLY,ada-arrives-early,01_FRAMES/ep01-frame-07-ada-arrives-early.png,branch,Friedmandorstrop overlook,Before the Wipeout,770,324,1106,505,"Ada, an adult Nigerian field commander, checks the time while waiting for KC.",Optional investigative route that changes knowledge and witness-ledger state.
EP01-F08,8,4. TICK FOUR — THE RECORD,tick-four-record,01_FRAMES/ep01-frame-08-tick-four-record.png,convergence,Ada military feed,The Five Ticks,1111,324,1519,505,Ada studies a military device displaying her premature status as killed in action.,Required event where prior branches converge and context changes interpretation.
EP01-F09,9,5. TICK FIVE — RECOGNITION,tick-five-recognition,01_FRAMES/ep01-frame-09-tick-five-recognition.png,fixed-anchor,Bread market,The Five Ticks,16,569,395,729,Q reacts to a disturbance and looks toward the approaching catastrophe.,Required canon event; audience may inspect evidence but cannot alter outcome.
EP01-F10,10,6. BOOM,boom,01_FRAMES/ep01-frame-10-boom.png,fixed-anchor,Cape Wipeout,The Wipeout,400,569,765,729,A black title frame reads five ticks followed by BOOM.,Required canon event; audience may inspect evidence but cannot alter outcome.
EP01-F11,11,7. RESCUE BEGINS,rescue-begins,01_FRAMES/ep01-frame-11-rescue-begins.png,rescue-hub,Blast zone,Rescue,770,569,1106,729,Tallai reaches injured Ada and begins care while Q detects and Quartz prepares to clear the path.,Post-blast signal hub where the audience selects a rescue perspective.
EP01-F12,12,8. QUARTZ FINDS SOMETHING,quartz-finds-something,01_FRAMES/ep01-frame-12-quartz-finds-something.png,branch,Blast rubble,Rescue,1111,569,1519,729,"Quartz, the massive gentle rescue anchor, discovers a dusty teddy bear among the ruins.",Optional investigative route that changes knowledge and witness-ledger state.
EP01-F13,13,9. TO SAFETY,to-safety,01_FRAMES/ep01-frame-13-to-safety.png,convergence,Evacuation route,Rescue,16,791,395,947,"Tallai, Q, and Quartz carry Ada away from the destroyed Cape site.",Required event where prior branches converge and context changes interpretation.
EP01-F14,14,10. STABILIZATION,stabilization,01_FRAMES/ep01-frame-14-stabilization.png,branch,Care facility,Rescue,400,791,765,947,"Tallai stabilizes Ada in an intact care environment, preserving her personhood despite the record.",Optional investigative route that changes knowledge and witness-ledger state.
EP01-F15,15,11. ADA REMEMBERS,ada-remembers,01_FRAMES/ep01-frame-15-ada-remembers.png,branch,Care encounter,Rescue,770,791,1106,947,Ada regains fragmented awareness while Tallai remains close and Ada asks for KC.,Optional investigative route that changes knowledge and witness-ledger state.
EP01-F16,16,12. CLOSE / PT. 2 TEASE,close-part-two-tease,01_FRAMES/ep01-frame-16-close-part-two-tease.png,fixed-anchor,Friedmandorstrop aftermath,Closing,1111,791,1519,947,The hooded Reporter overlooks the ruined coast while the Omoluabi device continues recording.,Required canon event; audience may inspect evidence but cannot alter outcome.
